profession_id,profession_name
1,accountant
2,actor
3,actress
4,animation_department
5,archive_footage
6,archive_sound
7,art_department
8,art_director
9,assistant
10,assistant_director
11,camera_department
12,casting_department
13,casting_director
14,choreographer
15,cinematographer
16,composer
17,costume_department
18,costume_designer
19,director
20,editor
21,editorial_department
22,executive
23,legal
24,location_management
25,make_up_department
26,manager
27,miscellaneous
28,music_artist
29,music_department
30,podcaster
31,producer
32,production_department
33,production_designer
34,production_manager
35,publicist
36,script_department
37,set_decorator
38,sound_department
39,soundtrack
40,special_effects
41,stunts
42,talent_agent
43,transportation_department
44,visual_effects
45,writer
